 wnr  wal  wbb  wab  num
50.0 0.20  5.0 0.90    4
50.0 0.20  7.5 0.90    3
50.0 0.20 10.0 0.90    3
50.0 0.20 12.5 0.90    3
50.0 0.20 15.0 0.90    2
